year,month,age,country,holiday17,screen,company,genre,director,star1,star2,star3,totalstar,day0a,day0s,day0r,pregrade,preparti,audience17
2000,5,12,1,1,1,1157,769,1,705350.75,6855433,745327.3333,8306111.083,45165,0,0,0,0,45180
2000,1,15,1,1,1,8,85,9106,1,1,1,3,73657,0,0,0,0,73730
2014,9,12,1,7,612,1157,204,331707.3333,237677,3032695.75,1,3270373.75,13610,91,96,5.61,3152,1546942
2000,10,12,1,0,1,0,204,1,1,174333,1,174335,35340,0,0,0,0,35340
2014,10,15,2,5,347,797,313,1,609274.5,79046,1,688321.5,0,0,0,8.74,114,1118601
2014,9,0,3,1,1,178,412,1,1,1,1,3,10322,0,0,0,0,10785
2000,8,0,2,2,1,1157,412,2571814,1,701196.125,1,701198.125,2570768,0,0,0,0,2571814
2014,8,0,2,7,679,1157,412,2571814,1292168.5,600139.4286,925470.1,2817778.029,1539430,0,0,0,0,2911855
2015,3,15,3,5,254,897,871,1,1006080.077,383854.625,132558.8571,1522493.559,2103,8,12,7.74,315,55238
2015,10,0,3,6,56,1157,412,1,411547.6667,325016,1,736564.6667,1269,9,11,8.81,209,23186
2016,2,15,3,5,173,143,204,1,277727.2,2079.5,549617.4286,829424.1286,2296,33,33,9.39,75,55919
2000,8,19,3,1,1,897,78,1,1,1,1,3,232454,0,0,0,0,232520
2015,8,0,3,5,21,70,85,1,1,1,601420.9167,601422.9167,870,7,10,9.75,4,7730
2014,4,19,2,0,1,73,204,1,105365.9,111551.6,1,216918.5,12733,0,0,0,0,12736
2015,10,19,3,5,29,54,204,19117.66667,1,1,1,3,1059,5,5,9.11,9,5497
2014,8,19,2,0,2,36,198,1,1,1,1,3,6876,0,0,0,0,7132
2015,4,0,3,6,234,178,204,1,77,5022,1,5100,9061,31,34,9.65,118,30680
2000,11,19,1,1,1,70,204,999.5,997,412976,1,413974,122930,0,0,0,0,123006
2000,3,15,3,8,1,0,204,1,1,1,1,3,8898,0,0,0,0,9058
2000,1,12,3,0,1,0,204,1,1,1,1,3,111060,0,0,0,0,111060
2000,12,0,3,8,1,6,3,1,1,1,1,3,3593,0,0,0,0,4213
2000,3,12,1,5,1,73,204,1,1,3331593,1,3331595,1590685,0,0,0,0,1590757
2015,12,15,2,6,265,32,871,143794,1286936.143,355087.4444,1774,1643797.587,960,6,7,9.42,235,121832
2000,6,15,3,6,1,14,86,1,1,1,1,3,10058,0,0,0,0,10143
2015,12,12,3,6,19,2,85,1,1,1,1,3,775,5,5,9.6,15,5949
2016,4,15,2,6,158,10,204,1,1907989.6,12019.16667,44428.5,1964437.267,1017,7,7,9.09,54,14229
2014,8,15,2,1,1,93,198,1158222,109736,190611,54304.46154,354651.4615,177857,0,0,0,0,177938
2015,7,15,2,5,29,6,204,425,3283.25,84096.33333,124518,211897.5833,151,1,1,9.27,45,11869
2015,10,19,3,5,51,70,204,103444,1,1,1,3,313,2,2,7.96,47,4545
2015,9,15,3,5,51,178,871,13307,1,1,1,3,151,1,1,7.52,133,5211
2015,10,15,3,5,99,56,204,30687.66667,666065.8571,740642.7692,1163528.8,2570237.426,438,3,3,9.34,87,17158
2000,12,19,2,0,1,70,86,1,1,1,1,3,3290,0,0,0,0,3387
2015,7,15,2,5,85,30,78,1977,151272.6,50,7895,159217.6,851,4,4,8.39,76,27420
2000,4,12,3,1,1,2,198,8084,1,1,1,3,8007,0,0,0,0,8084
2014,8,12,3,6,2,18,85,1,1,1,1,3,3907,0,0,0,0,4204
2015,7,12,2,5,117,54,198,1,301473,895923.8571,15046.66667,1212443.524,3471,30,30,9.22,40,59897
2015,9,0,3,5,61,213,412,1,1,1,1,3,7649,35,35,8.69,397,63135
2000,11,15,2,6,1,5,86,1,1,1,1,3,214165,0,0,0,0,229184
2015,7,15,2,5,46,130,204,1,364650.0588,4209.25,207795.7692,576655.078,1934,11,11,8.6,81,24209
2000,12,15,3,0,1,51,204,1,1,20160.75,1,20162.75,31189,0,0,0,0,31191
2015,10,15,3,6,30,4,204,358,1,1,1,3,1027,4,4,9.31,114,4926
2014,12,15,3,4,348,548,198,33,332165.75,9736,1,341902.75,9115,100,101,8.87,113,287742
1900,11,0,3,3,1,30,86,1,1,1,1,3,47941,0,0,0,0,48188
2000,12,19,2,6,1,121,86,1,1,1,1,3,32250,0,0,0,0,32740
2000,4,19,3,3,1,54,86,12706,1017181.286,1,25.5,1017207.786,31839,0,0,0,0,31941
2000,9,15,1,1,1,5,204,14071,1,1,1,3,5979,0,0,0,0,5992
2015,3,19,2,5,362,678,871,2084457,918341.2105,980722,1266123.25,3165186.461,1401,7,7,9.05,128,287831
2016,3,15,2,5,457,292,871,990,770118.8125,570968.0909,788857.55,2129944.453,768,4,4,8.31,169,693307
2016,1,15,3,8,1,130,198,1,1,1,1,3,0,0,0,8.31,75,3405
2014,9,12,3,1,1,121,86,1,1593463,1,1,1593465,14660,0,0,0,0,14660
2014,5,0,2,6,91,678,412,655078,292173,893742.8824,189835.375,1375751.257,236129,0,0,0,0,246126
2016,5,12,1,6,14,9,86,1,1,1,1,3,1921,10,10,9.35,55,3334
2014,10,15,1,5,375,73,86,1,492135.5,1085127.6,1067436.111,2644699.211,6916,48,50,8.85,258,307857
2000,11,12,2,4,1,797,204,808908,933336.1,460391.1429,1028068.455,2421795.698,5919154,0,0,0,0,5919675
1900,9,0,3,3,1,3,204,1,1,1,1,3,478,0,0,0,0,3223
2016,1,15,2,5,704,866,1672,112518.25,901230.4167,1280655.111,1,2181886.528,2566,9,9,8.61,946,1811584
1900,10,19,3,6,1,1,871,1,1,1,1,3,43194,0,0,0,0,43901
2014,11,19,3,3,1,0,871,7320,1,1,1,3,7971,0,0,0,0,8027
2000,11,19,3,0,1,70,86,1,1,1,1,3,14709,0,0,0,0,14720
2016,5,12,3,5,44,178,204,656652,1,1,1,3,1375,12,12,9.21,127,3597
2015,12,19,3,5,434,198,871,1,1418226.75,3069151.5,264171.5,4751549.75,294,5,5,9.47,85,179738
2000,9,0,3,2,1,0,412,1,205378.3333,1,1,205380.3333,85184,0,0,0,0,85207
2015,9,0,3,8,62,121,412,1,74250,1,1,74252,1010,5,5,6.42,65,24061
2016,6,12,2,0,540,678,871,3472574.75,397847,91164,444733.375,933744.375,2811,13,13,8.58,106,146338
2016,2,0,2,6,104,9,59,1,1,1,1,3,5701,37,39,9.05,55,35575
2000,10,12,2,2,1,548,86,206120.5,1223994.25,1,160185,1384180.25,582958,0,0,0,0,583076
2000,9,15,3,6,1,225,78,1,1,1,1,3,89851,0,0,0,0,100088
2015,6,15,3,5,239,99,78,303473,1,1,1,3,669,3,3,8.69,52,35849
2000,8,15,3,8,1,41,86,6189,3240.666667,5777,1,9018.666667,18665,0,0,0,0,19358
2000,10,19,2,4,1,93,198,102974.2,545615.8889,1976697.333,254673,2776986.222,180948,0,0,0,0,181089
1900,7,15,1,1,1,1,204,1,1,1,1,3,2702,0,0,0,0,3741
2000,8,15,1,1,1,0,204,1,1,1,1,3,3549,0,0,0,0,3566
1900,11,15,2,5,1,866,86,1,1,1,1,3,12678,0,0,0,0,12944
2016,1,12,1,7,600,897,204,1517096,2355834.222,1067357.571,1887458,5310649.793,36250,367,548,9.17,830,452140
2000,9,19,2,0,1,292,871,173348,2350888.6,2881474,1307750,6540112.6,66468,0,0,0,0,66504
2014,10,0,3,0,1,28,412,1,232236,84255,34474,350965,15846,0,0,0,0,16070
2000,5,15,2,0,1,94,871,2970949,1442097.083,365117.3333,2393542.75,4200757.166,387527,0,0,0,0,387947
2000,2,0,3,2,1,2,204,1,1,1,1,3,9996,0,0,0,0,10005
2014,9,19,2,7,441,797,871,34726.66667,1461002.333,806649.2353,5174333.667,7441985.235,3056,7,10,7.99,613,1894746
2016,3,15,3,5,316,178,204,52710,237.5,1,1,239.5,9790,61,62,9.02,178,80917
2000,12,12,3,0,1,1,198,1,1,1,1,3,8918,0,0,0,0,8919
2000,5,0,3,0,1,27,204,851,1,1,1,3,10735,0,0,0,0,10758
2014,8,19,3,1,1,2,204,1,1,1,1,3,12226,0,0,0,0,12393
2015,10,15,3,6,143,213,353,1,1812046.571,70062,1,1882109.571,991,4,4,8.94,69,18057
2015,3,19,3,5,23,30,59,1,1,1,1,3,929,23,23,8.25,25,8435
2014,8,15,3,7,9,93,769,18420,33050.5,340344.6667,1,373396.1667,68463,0,0,0,0,73270
2014,8,0,2,1,1,866,412,440365,570210,1398576.231,198247,2167033.231,765713,0,0,0,0,765961
1900,10,12,1,4,1,0,86,1,1,1,1,3,2100,0,0,0,0,4827
2016,3,15,2,4,139,40,919,1,1,1,1,3,126,1,1,7.61,313,6062
2015,12,12,2,4,136,292,204,1,1,104056.5,1,104058.5,796,3,3,8.8,101,14343
2015,5,12,3,5,33,70,204,9609,66002.33333,9609,1,75612.33333,489,4,6,9.29,35,7803
2015,2,12,3,8,11,70,204,1,1,1,1,3,344,5,5,9.12,17,6313
2016,6,0,3,2,97,51,412,1,44572,1,70042.2,114615.2,496,3,3,8.93,75,13610
2015,7,0,3,5,119,178,412,1,1,1,1,3,1622,8,8,9.59,103,34221
2000,2,15,3,4,1,1,204,1,1,1,1,3,8485,0,0,0,0,9380
2016,3,15,3,5,82,54,204,272.5,1,1,1,3,1176,11,11,8.49,49,6667
2014,8,12,3,1,1,0,204,1,1,1,1,3,3306,0,0,0,0,3521
2014,9,19,1,5,60,168,78,1,1,1,1,3,600,6,6,8.05,38,7974
2000,9,0,3,0,1,0,412,1,1,1,1,3,27083,0,0,0,0,27236
2000,11,0,2,9,4,1157,412,1230470,1279386.167,1230470,955204,3465060.167,1629892,0,0,0,0,1634929
2014,12,0,2,5,509,1157,412,1432779,752553.7,1622962.875,1247063,3622579.575,3752,18,18,9.63,188,1490457
2015,12,19,2,5,18,70,204,1,1,1,1,3,326,4,4,9,29,5996
2014,10,19,1,7,536,1157,86,311539,2336731.875,73315.4,3916,2413963.275,8522,43,49,8.03,285,458655
2014,8,0,3,7,47,27,204,16758,1,1,1,3,30061,0,0,0,0,106660
2000,10,0,1,4,1,897,412,1,1195247.5,1310997.182,912989.5,3419234.182,2202154,0,0,0,0,2202310
2000,3,19,1,2,1,1157,204,5479396.5,1,1,690652.4,690654.4,2979598,0,0,0,0,2979751
2014,8,0,2,5,65,1157,204,1,1,1,1,3,2367,11,11,0,0,8591
2015,7,19,1,5,64,143,204,7427.333333,903773.6154,1,169775.4,1073550.015,1727,8,8,9.15,91,17336
2000,9,0,3,0,1,1157,412,1,1,56287,8246.5,64534.5,1067945,0,0,0,0,1068004
2015,8,0,3,5,39,30,204,28965.5,1,1,1,3,1056,8,8,9.1,10,7978
2014,12,15,3,6,84,41,204,11030,5777,1,14347.16667,20125.16667,1401,5,5,9.44,61,39456
2000,9,15,1,1,1,0,204,1,1,1,1,3,7239,0,0,0,0,7251
2015,10,12,2,6,1003,866,871,767433.5714,399383.9444,1065801.3,68074,1533259.244,10011,42,42,9.6,622,3747877
2000,8,19,2,3,1,70,204,14090,1,597577.6667,332834.625,930413.2917,35117,0,0,0,0,35389
2014,9,0,3,8,178,213,412,1,37268,595206,1,632475,3919,29,32,9.66,74,229478
2016,3,12,3,5,115,12,412,39423,1,1,1,3,5316,74,74,9.3,87,47653
2000,9,0,1,0,1,1157,204,1,1246354,1,544634,1790989,185978,0,0,0,0,186078
2014,10,12,1,4,1,1,59,1089.4,1,1,1,3,3338,0,0,0,0,3523
2014,8,0,3,0,1,28,412,0.5,1,1,1,3,32400,0,0,0,0,32406
2015,6,12,1,5,30,70,85,1,1,1,1,3,2892,22,22,3.85,124,4353
2000,8,19,2,1,1,5,871,456742,1,1,439039,439041,420784,0,0,0,0,420845
2016,3,15,3,6,29,7,198,54775.28571,1,1,1,3,266,2,2,8.88,8,3739
2014,10,15,3,5,195,39,353,1,169903.8,1,1,169905.8,3845,19,20,9.19,226,30141
2000,10,15,2,2,1,6,204,1,540666.8,563,3174,544403.8,108428,0,0,0,0,108717
1900,2,12,3,5,1,51,204,1,1,1,1,3,0,0,0,0,0,3470
2015,12,12,3,6,29,19,204,1,1,1,1,3,1122,8,9,9.42,12,7852
2014,10,15,1,6,1,41,85,256.5,1760411,901974.3,1258923.273,3921308.573,36303,0,0,0,0,36494
2000,9,15,1,4,1,1157,86,157.6,285240,1910784,1,2196025,848582,0,0,0,0,849037
2000,11,0,1,1,2,550,204,1,1,1,1,3,4196840,0,0,0,0,4196859
2000,11,0,1,1,1,4,85,19922.5,1,1,1,3,5750,0,0,0,0,5756
2000,1,0,1,1,1,0,85,1,1,1,1,3,39679,0,0,0,0,39746
2000,4,12,3,6,1,9,86,1,1,1,1590,1592,100304,0,0,0,0,141790
2000,10,12,2,2,1,797,86,1,1,759955.5,1357,761313.5,4578084,0,0,0,0,4578239
2015,10,19,1,4,21,8,86,1,1,1,1,3,1,1,1,8.71,7,3141
2015,4,19,1,4,50,8,86,1,1,1,1,3,0,0,0,5.5,2,6276
2015,5,15,2,5,765,678,871,380330,1242119.167,463101.8,708797.6667,2414018.634,3958,19,19,8.92,257,2722979
2014,8,12,2,4,178,61,198,105070.375,382404.9375,2024145.4,1,2406551.338,5795,65,67,8.82,88,70910
2016,5,0,3,6,334,178,412,1,126524.4286,33904.8,44526,204955.2286,3001,20,20,9.52,223,168615
2015,12,15,3,5,126,130,204,1,705018.2308,555933.5385,1,1260952.769,1219,3,3,9.34,73,82269
2015,10,12,2,4,326,678,871,1474527,1203053.333,370824.75,19495.33333,1593373.416,1460,3,4,9.36,134,108491
2014,10,19,1,5,279,897,78,3,1056223.333,529652.6111,1277887.286,2863763.23,3931,14,17,7.29,726,133472
2014,12,19,3,6,28,112,769,18564.5,1,1,1,3,1330,11,12,8.98,46,6268
2000,11,15,2,2,1,73,204,2815.5,69790.5,444116.5,8109.75,522016.75,28660,0,0,0,0,28766
2000,12,15,3,0,1,0,204,1,1,1,1,3,6451,0,0,0,0,7118
2000,10,15,2,4,1,121,769,1,1,1,1,3,134,0,0,0,0,14630
2014,8,0,1,5,35,1,412,13289,1,1,1,3,1314,13,14,0,0,18439
2014,9,12,2,6,472,866,871,1,1,48713.5,999842,1048556.5,5216,24,24,9.54,324,2120182
2015,9,12,2,6,680,866,871,2812427,2812427,2812427,727616.25,6352470.25,8833,43,44,9.38,851,2457135
2000,10,15,2,1,1,93,79,138518,1,1,1,3,9951,0,0,0,0,10058
2000,4,15,3,1,1,121,204,4318,38001.33333,11821.5,121273.3333,171096.1666,18619,0,0,0,0,18619
2016,2,15,1,5,141,27,78,1,3282.333333,33161.5,2232511.333,2268955.166,999,5,6,7.62,58,10123
2014,8,15,1,7,1300,1157,3391,2546163.75,2238494.167,2744582.556,1756795.5,6739872.223,1410271,0,0,0,0,14637236
2015,5,12,1,5,92,548,85,3626484.333,1,1,1,3,3259,20,20,6.32,95,7798
2000,7,15,1,0,1,11,204,2003,1924048.25,217866,107920.0769,2249834.327,16863,0,0,0,0,16866
2000,8,19,3,1,1,897,871,1,308428,144965,1,453394,379949,0,0,0,0,380515
2014,8,12,3,5,232,1157,412,584836,1,1,1,3,1225,0,0,0,0,372160
2015,2,12,3,8,113,1157,412,265222,1,1,1,3,1605,17,17,9.49,287,238942
2015,8,0,3,4,323,1157,412,522759.3333,421180.6,524429.5,1,945611.1,215,2,2,9.65,366,442242
1900,8,0,2,4,1,41,198,1,1,1,1,3,124,0,0,0,0,5482
2000,4,12,1,2,1,1157,204,1,161312.5,6498605,2009716,8669633.5,762337,0,0,0,0,762368
2015,2,15,2,7,290,93,871,1,1170975.625,2566996,273251.5625,4011223.188,2334,13,13,8.24,105,75900
2015,7,15,2,4,49,112,353,1,1,1,1,3,430,2,2,9.16,70,6507
2000,12,0,1,0,1,8,85,1,1,1,1,3,10942,0,0,0,0,10942
2014,10,0,3,5,31,28,86,1,1,1,1,3,563,3,3,9.31,100,3006
2015,4,15,2,5,64,70,919,10485.5,44521.33333,2115352.2,1,2159874.533,1434,7,7,8.56,18,9376
2014,8,19,3,6,26,1,353,37980.5,551538.5,635887.875,181585.3636,1369011.739,836,5,5,9,38,11176
1900,1,12,2,3,1,866,204,1,1,1,1,3,12363,0,0,0,0,13929
2014,12,12,1,6,97,15,85,37619,1,1,1,3,7819,37,37,9.38,210,33015
2015,11,12,3,5,167,79,313,2826957,9028,470384.5,5228,484640.5,1686,10,12,7.27,160,25903
2000,12,0,2,1,1,94,412,1,157107.75,9163.8,1,166272.55,884885,0,0,0,0,884988
2015,12,0,2,6,541,797,412,884988,319544,30769.25,222448.25,572761.5,4469,22,22,9.43,451,1430162
2016,5,19,3,6,41,292,86,117.3333333,1,1,1,3,959,10,11,9.09,34,5757
2000,3,19,3,2,1,30,204,1,1,1,1,3,40795,0,0,0,0,40846
2016,5,12,3,5,54,24,871,914,1566.375,391698.5714,25953,419217.9464,0,0,0,7.29,143,11147
2000,2,12,3,6,1,40,871,1,1,1,1,3,214,0,0,0,0,16643
2014,12,15,3,5,55,73,204,56093.16667,12678.14286,565319.5,4433.333333,582430.9762,2113,18,18,8.96,76,28890
2015,5,19,1,4,482,168,86,1,1991380.667,1319132.6,1245333.333,4555846.6,8043,41,46,9.54,203,396200
2015,8,0,3,5,158,121,412,1,1,1,1,3,1850,10,10,9.69,96,18008
2000,10,15,1,1,1,70,204,218898,218898,1,1,218900,11224,0,0,0,0,11228
2016,6,15,1,5,312,897,78,541,747590,254849,897404.4667,1899843.467,2389,9,9,7.48,175,97306
2016,3,15,1,5,227,39,769,813,54514,712317.8889,2953097.75,3719929.639,1496,6,8,7.16,510,15873
2016,3,15,3,5,23,2,204,1,1,1,1,3,4267,55,55,9.3,27,7012
2000,9,15,2,2,1,70,198,22231.66667,571510.7692,452141.1667,52174.5,1075826.436,36255,0,0,0,0,36433
2000,8,0,3,1,1,1,59,1,1,1,1,3,5451,0,0,0,0,5904
2000,10,15,2,2,1,73,86,1,1,1,1,3,15599,0,0,0,0,16107
2014,9,15,3,3,1,2,204,1,1,1,1,3,4318,0,0,0,0,4514
2015,9,0,3,8,230,225,412,1,1,305084.3333,1,305086.3333,1963,10,10,9.66,185,276497
2000,4,12,3,0,1,3,871,1,1104207.5,148908,1,1253116.5,125425,0,0,0,0,125435
2016,6,12,2,5,384,678,86,1,3240370,103709.3333,1,3344080.333,5323,22,22,9.58,354,597357
2014,8,15,3,2,1,30,204,1,1,1,1,3,3182,0,0,0,0,3252
2016,5,0,3,5,34,70,204,5177.666667,1,1,1,3,427,3,3,8.31,36,5524
2014,8,0,3,1,4,548,313,164093,16954.2,413725,1,430680.2,315348,0,0,0,0,316326
2016,1,0,3,5,37,213,412,1,1,1,1,3,10385,760,1253,9.16,19,11703
2015,7,0,2,4,612,797,412,995406.5,1010207.75,1,592875,1603083.75,2053,11,13,9.41,201,2089464
2000,9,15,2,5,1,93,198,38211.25,550441.6667,1126373.833,329685.5,2006501,359622,0,0,0,0,360450
2015,8,12,3,5,240,70,204,17321.5,1,1896.4,11746,13643.4,14273,68,68,9.42,127,104546
2016,5,0,2,5,79,797,204,50120.5,77542.4,8483,1,86026.4,1678,8,8,9.74,57,15628
2015,7,15,2,5,1199,897,871,784031,2656252.222,2978739.778,185032.5714,5820024.571,1251,6,6,9.59,409,5476966
2015,6,15,3,5,28,54,204,1,1,1,1,3,568,5,5,9,5,4260
2016,3,15,2,5,394,213,919,1,261272.6,1011915,1315826.5,2589014.1,409,2,2,8.5,229,147632
2000,9,15,3,0,1,121,313,1,1,89451.5,588188,677640.5,16969,0,0,0,0,16985
2016,6,19,2,4,66,25,871,3375,82818.66667,55979.6,73687.4,212485.6667,188,1,1,9.12,25,11749
2000,8,19,2,0,2,73,353,1,143126,26497.5,1,169624.5,125473,0,0,0,0,125477
2015,1,19,3,5,27,70,204,11966,1,1,1,3,689,5,5,8.62,8,11110
2015,9,15,3,2,50,99,871,1738.5,1,1,1,3,1712,11,11,8.11,63,3711
2016,5,12,3,6,57,73,919,1611365.333,1,1,1,3,452,11,11,7.14,111,6329
2015,12,15,2,5,22,866,198,67384,1,1,1,3,1353,6,6,9.07,15,7235
2015,8,15,1,5,413,292,198,417667,1952996.583,769950.6,1832733.474,4555680.657,15981,101,101,8.57,609,801646
2015,10,15,1,4,333,550,204,2653969,431050.6364,2386796.571,291712.6,3109559.807,3985,14,14,8.49,86,50396
2000,4,0,3,7,1,27,412,1,1,1,1,3,109052,0,0,0,0,117928
1900,11,12,1,5,1,0,204,1,1,1,1,3,4613,0,0,0,0,6504
2014,8,19,3,0,1,70,204,1,1,1,1,3,6822,0,0,0,0,6842
2000,6,15,3,0,1,2,198,1,1,1,1,3,5394,0,0,0,0,5437
2000,6,0,3,0,83,213,412,1,1,1,1,3,24640,0,0,0,0,25172
2014,8,19,1,0,2,0,204,542955,1,1,1,3,4516,0,0,0,0,4770
2000,5,15,1,4,1,73,204,1,1,5938939.5,31738,5970678.5,1604230,0,0,0,0,1604439
2000,10,15,1,0,1,18,204,706451,1,1,1,3,3044,0,0,0,0,3214
2015,2,0,3,8,146,112,412,1,1,22655,106108.5,128764.5,354,2,2,9.29,35,51318
2016,2,0,3,6,108,112,412,1,52381,32946,106108.5,191435.5,359,2,2,9,9,59328
2016,6,0,3,6,101,112,412,60977,56679,39953.75,106108.5,202741.25,414,6,8,9.75,8,52925
2016,1,0,3,5,117,70,412,1,1,1,1,3,1091,7,7,9.47,203,9860
2015,12,12,3,6,66,6,204,45915.2,11060.66667,29219.25,19679,59958.91667,2152,14,14,9.14,173,58070
1900,8,12,2,5,1,1,204,1,1,1,1,3,12157,0,0,0,0,15732
2015,2,15,3,4,26,4,871,3308,1,1,1,3,428,2,2,8.2,225,3155
2000,9,0,3,0,1,897,412,1518188,69278,1,1,69280,106439,0,0,0,0,106546
2000,4,0,1,2,1,23,85,1,2011887.375,1,1,2011889.375,17421,0,0,0,0,17912
2016,4,19,2,7,39,797,204,256801,1,1,1,3,0,0,0,7.87,45,5810
2016,4,12,3,5,73,40,204,954,1,1,1,3,1454,36,36,9.23,78,3653
2015,1,0,3,5,49,121,85,1,1,1,1,3,1529,48,64,9,90,9200
2015,1,0,2,4,428,866,1672,2456176.75,1281634.625,805671.1111,1,2087306.736,4295,17,20,9.4,168,989418
2014,11,0,2,5,163,797,412,1,320108.6667,63038,6890,390036.6667,1017,6,7,9.92,26,92839
2000,7,19,1,3,2,1157,78,676538,4033678.8,382592,1131383,5547653.8,2205875,0,0,0,0,2206275
2014,10,12,3,5,34,121,204,1,1,1,1,3,590,3,3,9.75,20,7968
2000,12,0,3,0,1,0,412,9913,1,1,1,3,12327,0,0,0,0,12449
2014,10,19,1,0,1,23,86,829.6363636,1,1,1,3,7438,0,0,0,0,7448
2016,3,12,2,5,1624,678,871,1233566,929427.75,337924.5,365240.6667,1632592.917,18850,394,408,8.47,1139,2137574
2015,2,15,2,5,363,897,417,1,1,1,1051552,1051554,21421,325,858,7.99,148,265268
2014,10,12,3,6,20,25,313,290182,1,1,1,3,0,0,0,5.9,31,3151
2000,11,19,1,2,1,8,86,10232.6,1,1,1,3,6108,0,0,0,0,6244
2016,6,19,3,4,24,19,86,353,1,1,1,3,1105,6,6,8.84,31,4784
2014,8,0,3,4,81,112,412,1,360195,1,2777.6,362973.6,508,5,6,9.11,19,10566
2016,1,15,3,3,92,40,769,1,1,1,1,3,126,1,1,8.9,48,8077
2015,4,15,2,4,50,25,871,490193.5,1,1,1,3,0,0,0,7.58,102,7649
2000,4,15,3,2,2,11,919,44546,102592,1,1,102594,557037,0,0,0,0,557063
2000,11,15,2,1,1,4,198,69001.66667,1,1,1,3,7443,0,0,0,0,7501
2015,3,19,2,5,354,866,198,81277.66667,979509,440971.625,1699672.5,3120153.125,1800,8,8,7.99,2152,190582
2016,1,15,2,2,152,99,871,20316,280948.9375,226762.25,1311190,1818901.188,963,4,4,8.01,235,18042
2014,12,19,3,2,121,56,769,1,586616,332556.2857,1,919173.2857,935,5,5,9.58,19,14964
2016,2,0,1,5,362,31,313,1489216,2070545,1,1,2070547,3071,16,16,8.31,336,66187
2000,11,19,1,0,1,550,353,1,1,1,1,3,942297,0,0,0,0,942303
1900,2,15,2,3,1,1,1,1,1,1,1,3,5504,0,0,0,0,7397
2000,10,15,1,1,1,1157,871,1094896.5,1723445.333,1042273.5,1123242.769,3888961.602,7166290,0,0,0,0,7166473
2014,9,15,2,7,338,178,86,1,569584.1429,18133.75,242748,830465.8929,1326,7,7,9.33,84,103230
2000,10,15,3,1,1,0,204,1,445981.75,1,1,445983.75,63681,0,0,8.47,116,63757
2015,6,15,2,4,116,292,204,38195.5,528635.2857,90525.5,1953,621113.7857,978,3,3,9,23,13399
2014,8,15,3,7,2,213,769,30503,312460.25,152245.5556,1,464706.8056,46707,0,0,0,0,47682
2015,8,15,1,4,957,1157,871,1925214,2507746.563,1077098.333,2104383,5689227.896,25421,138,145,8.87,691,7983988
1900,8,12,2,8,1,121,204,1,1,1,1,3,13465,0,0,0,0,15809
2014,8,0,3,3,2,54,1672,1,1,1625,1,1627,30368,0,0,0,0,30882
1900,8,19,3,8,1,9,204,1,1,1,1,3,4841,0,0,0,0,5463
2000,9,0,3,0,1,550,412,1,1,184,1,186,1518132,0,0,0,0,1518188
2000,9,15,1,2,1,548,204,1,4055205.833,2315780.5,2555123.667,8926110,11374620,0,0,0,0,11374861
2015,12,12,3,5,180,112,412,1,1,1,47277,47279,108,1,1,9.76,231,63473
2014,10,15,2,5,206,797,204,53626.5,1,63597.1,6446,70044.1,2053,20,20,9.39,36,152169
2016,6,19,3,5,138,54,204,1,56081.35294,16198,1,72280.35294,4697,62,63,9.42,106,65218
2014,10,0,3,6,57,121,412,1,1,1,1,3,0,0,0,9.21,14,17089
2014,11,19,1,6,104,15,204,2963652,932234.5455,2399846,1,3332081.546,3349,45,46,9.54,68,14029
2014,11,0,3,6,112,213,412,1,23057.75,48210.6,26333.75,97602.1,438,2,2,9.67,128,42416
2000,3,15,1,0,1,548,204,1,6274406,159673.2,1,6434080.2,3459864,0,0,0,0,3459879
2000,2,0,3,6,1,30,85,1,1,1,1,3,5700,0,0,0,0,17100
2000,11,15,3,0,1,70,198,1,1,175,1,177,23567,0,0,0,0,23614
2016,3,12,2,5,90,797,204,584,45881,14510,1,60392,937,4,4,8.71,51,126116
2000,9,19,1,7,1,0,204,43787,163316.75,1753192.5,818130.8,2734640.05,45822,0,0,0,0,46108
2015,4,15,2,5,774,797,871,964198.3333,960099.6667,470666.4444,824734,2255500.111,397,1,1,9.71,733,2664730
2014,8,15,3,2,1,121,78,270926,464047.25,1,1,464049.25,78803,0,0,0,0,79017
2000,4,15,3,1,1,1157,204,23430.66667,1,1,1,3,18770,0,0,0,0,18782
2016,6,12,3,4,84,73,204,1,1,1,1,3,6862,40,73,7.95,153,29444
2016,3,0,3,5,53,51,412,1,1,1,1,3,674,3,3,9.62,40,7320
2015,8,12,1,5,633,548,313,1,499704,2572472.444,3316315.5,6388491.944,29229,237,237,5.63,2679,1716099
2015,3,12,2,5,91,1157,204,8084,340570.2,1,1,340572.2,534,6,12,9.02,53,14840
2016,3,15,2,5,141,112,204,1,1,1,1,3,560,6,6,9.47,17,5811
2014,8,0,3,2,38,13,412,1,1,1,1,3,415,3,3,8.24,17,5382
1900,9,15,2,5,1,866,204,1,1,1,1,3,0,0,0,0,0,3358
2000,1,15,2,9,2,1157,204,1,1,1,1,3,208308,0,0,0,0,209558
2016,4,12,2,7,37,866,204,10900.5,224221,1411564,1,1635786,1117,9,9,8.58,86,36585
2016,1,12,2,5,98,70,204,73078.5,865055.6667,148249.3333,1,1013306,895,7,7,9.45,49,28912
2014,8,15,3,4,285,225,871,1,520135.75,501736,1,1021872.75,3661,18,18,8.09,227,74912
2014,8,12,1,4,2,12,85,1,1,1,1,3,8428,0,0,0,0,9193
